Name,Partei,Amt,DOB
"Carsten Schneider",SPD,"Bundesminister für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",1976
"Nina Warken",CDU/CSU,"Bundesministerin für Gesundheit",1979
"Alois Rainer",CDU/CSU,"Bundesminister für Landwirtschaft, Ernährung und Heimat",1965
"Reem Alabali Radovan",SPD,"Bundesministerin für wirtschaftliche Zusammenarbeit und Entwicklung",1990
"Verena Hubertz",SPD,"Bundesministerin für Wohnen, Stadtentwicklung und Bauwesen",1987
"Thorsten Frei",CDU/CSU,"Bundesminister für besondere Aufgaben/Chef des Bundeskanzleramtes",1973
"Friedrich Merz",CDU/CSU,"Bundeskanzler",1955
"Lars Klingbeil",SPD,"Bundesminister der Finanzen",1978
"Alexander Dobrindt",CDU/CSU,"Bundesminister des Innern",1970
"Johann Wadephul",CDU/CSU,"Bundesminister des Auswärtigen",1963
"Boris Pistorius",SPD,"Bundesminister der Verteidigung",1960
"Katherina Reiche",CDU/CSU,"Bundesministerin für Wirtschaft und Energie",1973
"Dorothee Bär",CDU/CSU,"Bundesministerin für Forschung, Technologie und Raumfahrt",1978
"Stefanie Hubig",SPD,"Bundesministerin der Justiz und für Verbraucherschutz",1968
"Karin Prien",CDU/CSU,"Bundesministerin für Bildung, Familie, Senioren, Frauen und Jugend",1965
"Bärbel Bas",SPD,"Bundesministerin für Arbeit und Soziales",1968
"Karsten Wildberger",CDU/CSU,"Bundesminister für Digitales und Staatsmodernisierung",1969
"Patrick Schnieder",CDU/CSU,"Bundesminister für Verkehr",1968
